MsgID.GLOBAL_POSITION,0.0000000,-122.3974512,37.7924800,0.0420000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18.5980000,-0.0405968,0.1843276,-0.0419440
MsgID.LOCAL_VELOCITY,18.5980000,0.0000072,-0.0000067,0.0000128
MsgID.GLOBAL_POSITION,0.0000000,-122.3974487,37.7924798,0.0140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,18.8480000,-0.0828568,0.4105241,-0.0124648
MsgID.LOCAL_VELOCITY,18.8480000,-0.0000208,-0.0000020,0.0000298
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974505,37.7924788,-0.0120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,19.0980000,-0.1808234,0.2414570,0.0129464
MsgID.LOCAL_VELOCITY,19.0980000,0.0000004,0.0000046,0.0000118
MsgID.GLOBAL_POSITION,0.0000000,-122.3974512,37.7924801,-0.0340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,19.3480000,-0.0265850,0.1873579,0.0353180
MsgID.LOCAL_VELOCITY,19.3480000,0.0000006,-0.0000012,0.0000088
MsgID.GLOBAL_POSITION,0.0000000,-122.3974500,37.7924812,-0.0500000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,19.5990000,0.0872583,0.2855803,0.0509019
MsgID.LOCAL_VELOCITY,19.5990000,-0.0000026,-0.0000290,0.0000156
MsgID.GLOBAL_POSITION,0.0000000,-122.3974503,37.7924801,-0.0570000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,19.8490000,-0.0432738,0.2627876,0.0580357
MsgID.LOCAL_VELOCITY,19.8490000,0.0000107,-0.0000206,-0.0000166
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3974513,37.7924789,-0.0550000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,20.1040000,-0.1619937,0.1579948,0.0546122
MsgID.LOCAL_VELOCITY,20.1040000,0.0000151,-0.0000070,0.0000155
MsgID.GLOBAL_POSITION,0.0000000,-122.3974515,37.7924811,-0.0400000
